2016/11/11
Mississippi St. 80, Boise State 68
Michigan 76, SMU 54
Idaho 65, Little Rock 57
Mt. St. Mary's 78, George Mason 76
Jackson State 75, N.C. Central 84
Southern Ill. 101, SIUE 83
Detroit 69, Illinois 89
Selma 48, Alcorn State 93
FGCU 72, Baylor 81
Northeastern St. 70, Steph. F. Austin 75
Texas-Arlington 67, Arkansas 71
Norfolk State 52, Vanderbilt 75
Coppin State 51, Utah 94
Dallas 54, Houston Baptist 98
Ohio 67, Georgia Tech 61
Union (Tenn.) 44, Southern Miss 60
North Florida 70, LSU 78
Southeast Mo. St. 78, Bradley 84
Cleveland State 74, Tennessee-Martin 85
FIU 64, South Alabama 69
Bethesda Christian 92, Southern Utah 108
St. Peter's 90, Lipscomb 77
Ball State 59, Alabama 77
New Mexico St. 59, New Mexico 72
James Madison 73, Montana State 80
St. John's 86, Minnesota 92
UCF 60, Charleston 40
Oregon State 58, Nevada 83
Lewis & Clark 52, Portland 98
Davidson 70, Missouri 55
Eastern Mich. 76, Gardner-Webb 68
Loyola Chicago 57, Saint Joseph's 71

2016/11/19
Penn State 68, Duke 78
Liberty 48, Indiana 87
St. Mary's (Cal.) 61, Dayton 57
Rhode Island 76, Cincinnati 71
Bucknell 60, Butler 86
Campbell 66, Morgan State 82
Morehead State 56, Evansville 69
Lyndon State 20, Vermont 79
Eastern Kentucky 71, Texas Tech 90
Eastern Mich. 70, IUPUI 83
Northern Kentucky 74, Delaware 53
Rice 100, Omaha 87
Lamar 64, Fresno State 83
Chicago State 79, Oakland 107
Texas Southern 77, La Salle 76
St. Peter's 41, Fordham 63
Kennesaw State 85, UMBC 93
Simpson (Iowa) 61, Drake 76
Youngstown St. 75, South Alabama 84
Austin Peay 70, Miami (Ohio) 76
Loyola Chicago 78, Oral Roberts 53
Penn 62, Miami (Fla.) 74
Trinity Baptist 53, Furman 102
Maine 78, Boston U. 102
UMKC 71, Bowling Green 69
Navy 62, High Point 69
New Orleans 68, Tulsa 77
Fairfield 70, Wagner 64
Colgate 68, NJIT 74
Western Caro. 63, Marshall 98
Bethesda Christian 52, Cal Poly 69
S.C. Upstate 79, Charleston So. 77
Marist 87, Brown 79
Lipscomb 72, Fairleigh D'son 90
Mo.-St. Louis 55, Indiana State 96
Northeastern 74, LIU Brooklyn 78
Arkansas State 60, Army West Point 57
Montana 63, Washington St. 87
Toledo 82, Wright State 78
Murray State 93, Green Bay 77
Fresno Pacific 50, UC Riverside 96
VMI 72, Virginia Tech 88
Presbyterian 59, William & Mary 89
Rider 65, South Florida 70
North Dakota St. 54, UNC-Greensboro 65
Mass.-Lowell 81, IPFW 94
Chatham 59, St. Francis (Pa.) 119
Tennessee State 74, Middle Tenn. 63
Trinity Christian 66, Illinois-Chicago 102
Prairie View A&M 59, UTSA 69
Western Ky. 69, Belmont 90
Louisiana Tech 54, Nebraska 65
Albany 77, Grand Canyon 82
Western Illinois 64, Eastern Illinois 73
Central Ark. 64, Chattanooga 75
Idaho State 51, Utah State 85
