WEEK 1
Nebraska 17, Wisconsin 23
Baylor 34, Texas 35
New Mexico St. 10, Texas A&M 52
West Virginia 20, Oklahoma State 37
Boise State 28, Wyoming 30
Florida 24, Georgia 10
Auburn 40, Mississippi 29
Kansas 3, Oklahoma 56
Tennessee 21, South Carolina 24
Penn State 62, Purdue 24
New Mexico 28, Hawaii 21
UCF 24, Houston 31
Connecticut 3, East Carolina 41
Duke 35, Georgia Tech 38
Kentucky 35, Missouri 21
Minnesota 40, Illinois 17
Kent State 27, Cent. Michigan 24
Wagner 10, Massachusetts 34
Kansas State 31, Iowa State 26
Boston College 21, NC State 14
Coastal Caro. 48, Presbyterian 17
Army West Point 21, Wake Forest 13
Maryland 36, Indiana 42
Texas Tech 27, TCU 24
Samford 41, Mississippi St. 56
Cincinnati 13, Temple 34
Miami (Fla.) 27, Notre Dame 30
Miami (Ohio) 28, Eastern Mich. 15
Western Ky. 52, Florida Atlantic 3
SMU 35, Tulane 31
Arizona State 35, Oregon 54
Georgia State 10, South Alabama 13
Rice 16, Louisiana Tech 61
La.-Monroe 10, Arkansas State 51
Marshall 14, Southern Miss 24
Middle Tenn. 42, FIU 35
North Texas 17, UTSA 31
Tulsa 59, Memphis 30
Old Dominion 31, UTEP 21
UNLV 24, San Jose State 30
Washington St. 35, Oregon State 31
Stanford 34, Arizona 10
 
WEEK 10 
Tuesday  , November  01, 2016
Western Mich. 52, Ball State 20
Bowling Green 20, Northern Ill. 45
Wednesday, November  02, 2016
Toledo 48, Akron 17
Thursday , November  03, 2016
Oklahoma 34, Iowa State 24
UCLA 10, Colorado 20
Buffalo 10, Ohio 34
Arkansas State 31, Georgia State 16
Friday   , November  04, 2016
San Jose State 31, Boise State 45
Cent. Michigan 17, Miami (Ohio) 37
Temple 21, Connecticut 0
Saturday , November  05, 2016
Alabama 10, LSU 0
Syracuse 0, Clemson 54
Maryland 3, Michigan 59
Texas A&M 28, Mississippi St. 35
Washington 66, California 27
Nebraska 3, Ohio State 62
Louisville 52, Boston College 7
Wisconsin 21, Northwestern 7
Vanderbilt 16, Auburn 23
Florida 10, Arkansas 31
Iowa 14, Penn State 41
TCU 62, Baylor 22
Oklahoma State 43, Kansas State 37
Virginia Tech 24, Duke 21
Kansas 21, West Virginia 48
Georgia Tech 20, North Carolina 48
Florida State 24, NC State 20
Arizona 7, Washington St. 69
Notre Dame 27, Navy 28
Texas 45, Texas Tech 37
Indiana 33, Rutgers 27
Michigan State 27, Illinois 31
Ga. Southern 27, Mississippi 37
Air Force 31, Army West Point 12
Pittsburgh 28, Miami (Fla.) 51
Monmouth 17, Coastal Caro. 38
UTSA 45, Middle Tenn. 25
Virginia 20, Wake Forest 27
BYU 20, Cincinnati 3
Oregon State 15, Stanford 26
Florida Atlantic 42, Rice 25
Charlotte 38, Southern Miss 27
Fresno State 0, Colorado State 37
Massachusetts 31, Troy 52
Purdue 31, Minnesota 44
Texas State 10, Appalachian St. 35
Memphis 51, SMU 7
Missouri 21, South Carolina 31
Tennessee Tech 0, Tennessee 55
South Alabama 35, La.-Monroe 42
Idaho 23, La.-Lafayette 13
Tulane 6, UCF 37
Louisiana Tech 45, North Texas 24
FIU 21, Western Ky. 49
Hawaii 0, San Diego State 55
Oregon 20, USC 45
Marshall 14, Old Dominion 38
Georgia 27, Kentucky 24
East Carolina 24, Tulsa 45
Houston Baptist 10, UTEP 42
Utah State 28, Wyoming 52
Nevada 26, New Mexico 35
 
WEEK 11 
Tuesday  , November  08, 2016
Western Mich. 37, Kent State 21
Eastern Mich. 48, Ball State 41
Wednesday, November  09, 2016
Toledo 31, Northern Ill. 24
Bowling Green 38, Akron 28
Thursday , November  10, 2016
Utah 49, Arizona State 26
North Carolina 27, Duke 28
La.-Lafayette 33, Ga. Southern 26
Friday   , November  11, 2016
Boston College 7, Florida State 45
Saturday , November  12, 2016
Mississippi St. 3, Alabama 51
Pittsburgh 43, Clemson 42
Michigan 13, Iowa 14
USC 26, Washington 13
Ohio State 62, Maryland 3
Wake Forest 12, Louisville 44
Illinois 3, Wisconsin 48
Mississippi 29, Texas A&M 28
Auburn 7, Georgia 13
Penn State 45, Indiana 31
Baylor 24, Oklahoma 45
Colorado 49, Arizona 24
Texas Tech 44, Oklahoma State 45
Georgia Tech 30, Virginia Tech 20
West Virginia 24, Texas 20
Minnesota 17, Nebraska 24
Boise State 52, Hawaii 16
California 21, Washington St. 56
LSU 38, Arkansas 10
Kentucky 36, Tennessee 49
Iowa State 31, Kansas 24
Tulsa 40, Navy 42
Cincinnati 3, UCF 24
South Carolina 7, Florida 20
Rutgers 0, Michigan State 49
Northwestern 45, Purdue 17
SMU 55, East Carolina 31
NC State 35, Syracuse 20
Miami (Ohio) 35, Buffalo 24
La.-Monroe 37, Georgia State 23
Miami (Fla.) 34, Virginia 14
Bryant 21, Coastal Caro. 31
Rice 22, Charlotte 21
Southern Utah 7, BYU 37
New Mexico St. 22, Arkansas State 41
Appalachian St. 24, Troy 28
Southern Miss 35, Old Dominion 51
Vanderbilt 17, Missouri 26
North Texas 7, Western Ky. 45
Tulane 18, Houston 30
Wyoming 66, UNLV 69
Army West Point 6, Notre Dame 44
UTSA 35, Louisiana Tech 63
Idaho 47, Texas State 14
Stanford 52, Oregon 27
UTEP 31, Florida Atlantic 35
South Florida 49, Memphis 42
Middle Tenn. 17, Marshall 42
Oregon State 24, UCLA 38
New Mexico 24, Utah State 21
Colorado State 46, Air Force 49
San Diego State 46, Nevada 16
 
WEEK 12 
Tuesday  , November  15, 2016
Ohio 20, Cent. Michigan 27
Kent State 7, Bowling Green 42
Wednesday, November  16, 2016
Ball State 19, Toledo 37
Northern Ill. 31, Eastern Mich. 24
Thursday , November  17, 2016
Louisville 10, Houston 36
Liberty 7, Coastal Caro. 42
Arkansas State 35, Troy 3
Friday   , November  18, 2016
UNLV 25, Boise State 42
Memphis 34, Cincinnati 7
Saturday , November  19, 2016
Chattanooga 3, Alabama 31
Ohio State 17, Michigan State 16
Indiana 10, Michigan 20
Clemson 35, Wake Forest 13
Arizona State 18, Washington 44
Wisconsin 49, Purdue 20
Penn State 39, Rutgers 0
Oklahoma 56, West Virginia 28
Washington St. 24, Colorado 38
Oklahoma State 31, TCU 6
Oregon 30, Utah 28
USC 36, UCLA 14
Alabama A&M 0, Auburn 55
